2025-05-11 09:30:36,893 - __main__ - INFO - Зарегистрированные маршруты:
2025-05-11 09:30:36,895 - __main__ - INFO - /api/production_plan
2025-05-11 09:30:36,895 - __main__ - INFO - /api/writeoffs
2025-05-11 09:30:36,895 - __main__ - INFO - /api/writeoffs
2025-05-11 09:30:36,895 - __main__ - INFO - /api/receipts
2025-05-11 09:30:36,895 - __main__ - INFO - /api/auth
2025-05-11 09:30:36,895 - __main__ - INFO - /api/kkts
2025-05-11 09:30:36,896 - __main__ - INFO - /static/<path:filename>
2025-05-11 12:18:17,244 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:17,391 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:17,535 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:17,680 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:17,822 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:17,971 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:18:18,111 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:18:18,272 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:18,418 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:18,563 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:18,711 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:18,861 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:19,012 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:19,155 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:19,300 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:19,448 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:19,600 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:19,748 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:19,896 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:20,039 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:20,188 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:18:20,351 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:20,504 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:20,662 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:20,810 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:20,975 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:18:21,119 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:18:21,261 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:18:21,429 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:21,573 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:21,725 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:22,316 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:22,934 - __main__ - INFO - Всего обработано чеков: 3, агрегировано точек: 3
2025-05-11 12:18:23,500 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
